id_goal,goal_minute,penalty?,own_goal?,id_match,player_name
goal798,65,TRUE,FALSE,match309,José Luis Morales Nogales
goal799,63,FALSE,FALSE,match309,Enric Gallego
goal800,69,FALSE,FALSE,match309,Ezequiel Chimy Ávila
goal801,84,FALSE,FALSE,match310,Roque Mesa
goal802,92,FALSE,FALSE,match310,Munir El Haddadi
goal803,42,FALSE,FALSE,match311,Antoine Griezmann
goal804,74,FALSE,FALSE,match311,Álvaro Morata
goal805,19,FALSE,FALSE,match312,Adrià Pedrosa
goal806,47,FALSE,TRUE,match312,Víctor Laguardia Cisneros
goal807,56,FALSE,FALSE,match312,Jonathan Calleri
goal808,26,FALSE,FALSE,match314,Munir El Haddadi
goal809,59,FALSE,FALSE,match314,Pablo Sarabia
goal810,63,FALSE,FALSE,match314,Franco Vázquez
goal811,55,FALSE,FALSE,match314,Giovani Lo Celso
goal812,82,FALSE,FALSE,match314,Cristian Tello
goal813,2,FALSE,FALSE,match315,Iñaki Williams
goal814,50,FALSE,FALSE,match315,Iñaki Williams
goal815,72,FALSE,FALSE,match315,Raúl García Escudero
goal816,45,FALSE,FALSE,match315,Álex Moreno
goal817,85,FALSE,FALSE,match315,Raúl de Tomás
goal818,7,FALSE,FALSE,match316,Samuel Chukwueze
goal819,1,FALSE,FALSE,match317,Juan Miguel Jiménez
goal820,85,FALSE,FALSE,match317,Joan Jordán
goal821,2,FALSE,FALSE,match318,Santi Mina
goal822,63,FALSE,FALSE,match318,Santi Mina
goal823,57,FALSE,FALSE,match318,Gonçalo Guedes
goal824,56,FALSE,TRUE,match318,Carlos Soler
goal825,30,FALSE,FALSE,match319,Sergi Guardiola
goal826,69,TRUE,FALSE,match319,Enes Ünal
goal827,14,FALSE,FALSE,match319,Mauro Arambarri
goal828,96,TRUE,FALSE,match319,Jorge Molina Vidal
goal829,45,FALSE,FALSE,match320,Jonathan Silva
goal830,51,FALSE,FALSE,match320,Karim Benzema
goal831,4,FALSE,FALSE,match321,John Guidetti
goal832,24,FALSE,FALSE,match321,Jony Rodríguez
goal833,38,FALSE,FALSE,match321,Joaquín Fernández Moreno
goal834,76,TRUE,FALSE,match321,Enes Ünal
goal835,45,FALSE,FALSE,match322,Clément Lenglet
goal836,64,FALSE,FALSE,match322,Jordi Alba
goal837,62,FALSE,FALSE,match322,Juan Miguel Jiménez
goal838,34,FALSE,FALSE,match323,Iago Aspas
goal839,69,FALSE,FALSE,match323,Sofiane Boufal
goal840,48,FALSE,FALSE,match323,Portu
goal841,85,FALSE,FALSE,match324,Thomas Lemar
goal842,78,TRUE,FALSE,match326,Giovani Lo Celso
goal843,45,FALSE,FALSE,match326,Gonçalo Guedes
